AŃO,MES,CCAA_DESTINO,CONTINENTE_ORIGEN,PAIS_ORIGEN,TURISTAS,PERNOCTACIONES,ESTANCIA_MEDIA
2019,7,Andalucía,América,Argentina,26480,206030,7.8
2019,7,Andalucía,América,Bolivia,550,3880,7.1
2019,7,Andalucía,América,Brasil,28470,174670,6.1
2019,7,Andalucía,América,Canadá,48950,275480,5.6
2019,7,Andalucía,América,Chile,4980,36450,7.3
2019,7,Andalucía,América,Colombia,15350,124180,8.1
2019,7,Andalucía,América,Costa Rica,530,4370,8.2
2019,7,Andalucía,América,Ecuador,2110,13900,6.6
2019,7,Andalucía,América,El Salvador,360,2690,7.5
2019,7,Andalucía,América,Estados Unidos de América,502160,3019190,6.0
2019,7,Andalucía,América,Guatemala,510,4290,8.4
2019,7,Andalucía,América,México,21790,171900,7.9
2019,7,Andalucía,América,Nicaragua,2380,19160,8.1
2019,7,Andalucía,América,Panamá,1470,9340,6.4
2019,7,Andalucía,América,Paraguay,1190,9930,8.3
2019,7,Andalucía,América,Perú,3000,23710,7.9
2019,7,Andalucía,América,República Dominicana,590,3590,6.1
2019,7,Andalucía,América,Uruguay,3040,26470,8.7
2019,7,Andalucía,América,Venezuela,2830,23640,8.4
2019,7,Andalucía,Asia,Arabia Saudí,40220,258410,6.4
2019,7,Andalucía,Asia,Azerbaiyán,840,4150,4.9
2019,7,Andalucía,Asia,Bahréin,5760,28060,4.9
2019,7,Andalucía,Asia,China,112730,580690,5.2
2019,7,Andalucía,Asia,Corea,23050,121340,5.3
2019,7,Andalucía,Asia,Emiratos Árabes Unidos,28110,159230,5.7
2019,7,Andalucía,Asia,Filipinas,45820,133510,2.9
2019,7,Andalucía,Asia,India,15470,72730,4.7
2019,7,Andalucía,Asia,Indonesia,4270,16400,3.8
2019,7,Andalucía,Asia,Iraq,860,4440,5.2
2019,7,Andalucía,Asia,Irán,1840,10000,5.4
2019,7,Andalucía,Asia,Israel,15490,82540,5.3
2019,7,Andalucía,Asia,Japón,18590,85480,4.6
2019,7,Andalucía,Asia,Jordania,2260,11750,5.2
2019,7,Andalucía,Asia,Kazajstán,1970,11410,5.8
2019,7,Andalucía,Asia,Kuwait,13530,104650,7.7
2019,7,Andalucía,Asia,Líbano,4820,23220,4.8
2019,7,Andalucía,Asia,Malasia,2280,12200,5.4
2019,7,Andalucía,Asia,Myanmar,700,2930,4.2
2019,7,Andalucía,Asia,Omán,1260,7750,6.2
2019,7,Andalucía,Asia,Otros países de Asia,3330,17230,5.2
2019,7,Andalucía,Asia,Pakistán,670,3990,6.0
2019,7,Andalucía,Asia,Qatar,8380,53660,6.4
2019,7,Andalucía,Asia,Singapur,5410,29820,5.5
2019,7,Andalucía,Asia,Siria,310,1260,4.1
2019,7,Andalucía,Asia,Sri Lanka,1270,4040,3.2
2019,7,Andalucía,Asia,Tailandia,4750,26600,5.6
2019,7,Andalucía,Asia,Vietnam,1600,7070,4.4
2019,7,Andalucía,Europa,Albania,1150,5870,5.1
2019,7,Andalucía,Europa,Alemania,826020,6639460,8.0
2019,7,Andalucía,Europa,Andorra,5880,44670,7.6
2019,7,Andalucía,Europa,Armenia,560,2640,4.7
2019,7,Andalucía,Europa,Austria,174480,1141860,6.5
2019,7,Andalucía,Europa,Belarús,3030,20070,6.6
2019,7,Andalucía,Europa,Bulgaria,17980,125970,7.0
2019,7,Andalucía,Europa,Bélgica,523670,3544930,6.8
2019,7,Andalucía,Europa,Chipre,1280,6790,5.3
2019,7,Andalucía,Europa,Croacia,6610,45010,6.8
2019,7,Andalucía,Europa,Dinamarca,333200,2786370,8.4
2019,7,Andalucía,Europa,Eslovenia,6150,41410,6.7
2019,7,Andalucía,Europa,Estonia,20880,154180,7.4
2019,7,Andalucía,Europa,Finlandia,141440,1044720,7.4
2019,7,Andalucía,Europa,Francia,1405500,8576200,6.1
2019,7,Andalucía,Europa,Georgia,1670,10340,6.2
2019,7,Andalucía,Europa,Grecia,15630,95700,6.1
2019,7,Andalucía,Europa,Hungría,37970,251020,6.6
2019,7,Andalucía,Europa,Irlanda,557800,4441180,8.0
2019,7,Andalucía,Europa,Islandia,12710,99150,7.8
2019,7,Andalucía,Europa,Italia,369650,2520180,6.8
2019,7,Andalucía,Europa,Letonia,12880,104850,8.1
2019,7,Andalucía,Europa,Liechtenstein,2290,17390,7.6
2019,7,Andalucía,Europa,Lituania,14480,102260,7.1
2019,7,Andalucía,Europa,Luxemburgo,52840,389680,7.4
2019,7,Andalucía,Europa,Macedonia del Norte,1130,6580,5.8
2019,7,Andalucía,Europa,Malta,7650,47420,6.2
2019,7,Andalucía,Europa,Moldavia,1570,8310,5.3
2019,7,Andalucía,Europa,Noruega,286140,2534400,8.9
2019,7,Andalucía,Europa,Países Bajos,685390,4407630,6.4
2019,7,Andalucía,Europa,Polonia,175100,1216760,6.9
2019,7,Andalucía,Europa,Portugal,404340,1919050,4.7
2019,7,Andalucía,Europa,Reino Unido,3966810,27053780,6.65
2019,7,Andalucía,Europa,República Checa,64540,444060,6.9
2019,7,Andalucía,Europa,República Eslovaca,28430,201630,7.1
2019,7,Andalucía,Europa,Rumanía,69300,563820,8.1
2019,7,Andalucía,Europa,Rusia,136670,947250,6.9
2019,7,Andalucía,Europa,Serbia,4150,22960,5.5
2019,7,Andalucía,Europa,Suecia,501390,3996100,8.0
2019,7,Andalucía,Europa,Suiza,164790,1080960,6.6
2019,7,Andalucía,Europa,Turquía,15540,62610,4.0
2019,7,Andalucía,Europa,Ucrania,49560,332580,6.7
2019,7,Andalucía,Oceanía,Australia,23190,153100,6.6
2019,7,Andalucía,Oceanía,Nueva Zelanda,5640,41260,7.3
2019,7,Andalucía,África,Angola,410,1950,4.8
2019,7,Andalucía,África,Argelia,19450,76890,4.0
2019,7,Andalucía,África,Costa de Marfil,610,3190,5.2
2019,7,Andalucía,África,Egipto,7760,37890,4.9
2019,7,Andalucía,África,Ghana,1400,11270,8.1
2019,7,Andalucía,África,Guinea Ecuatorial,720,6510,9.0
2019,7,Andalucía,África,Guinea-Bissau,490,3060,6.2
2019,7,Andalucía,África,Kenia,980,6240,6.4
2019,7,Andalucía,África,Mali,2260,16120,7.1
2019,7,Andalucía,África,Marruecos,597020,2853340,4.8
2019,7,Andalucía,África,Mauricio,420,2110,5.0
2019,7,Andalucía,África,Mauritania,1450,8740,6.0
